GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US06073003601,06073003601,"Census Tract 36.01, San Diego County, California",229500,15313
1400000US06073003602,06073003602,"Census Tract 36.02, San Diego County, California",224600,31428
1400000US06073003603,06073003603,"Census Tract 36.03, San Diego County, California",274200,72265
1400000US06073003800,06073003800,"Census Tract 38, San Diego County, California",,
1400000US06073003901,06073003901,"Census Tract 39.01, San Diego County, California",253600,53851
1400000US06073003902,06073003902,"Census Tract 39.02, San Diego County, California",311500,54526
1400000US06073004000,06073004000,"Census Tract 40, San Diego County, California",235100,23879
1400000US06073004100,06073004100,"Census Tract 41, San Diego County, California",276500,60111
1400000US06073004200,06073004200,"Census Tract 42, San Diego County, California",570700,37196
1400000US06073004300,06073004300,"Census Tract 43, San Diego County, California",650600,47287
1400000US06073004400,06073004400,"Census Tract 44, San Diego County, California",573900,51537
1400000US06073004501,06073004501,"Census Tract 45.01, San Diego County, California",373800,100701
1400000US06073004600,06073004600,"Census Tract 46, San Diego County, California",450000,190908
1400000US06073004700,06073004700,"Census Tract 47, San Diego County, California",458300,63630
1400000US06073004800,06073004800,"Census Tract 48, San Diego County, California",376500,119356
1400000US06073004900,06073004900,"Census Tract 49, San Diego County, California",271600,29313
1400000US06073005000,06073005000,"Census Tract 50, San Diego County, California",205000,150787
1400000US06073005100,06073005100,"Census Tract 51, San Diego County, California",364700,27239
1400000US06073005200,06073005200,"Census Tract 52, San Diego County, California",327800,32221
1400000US06073005300,06073005300,"Census Tract 53, San Diego County, California",771100,410872
1400000US06073005400,06073005400,"Census Tract 54, San Diego County, California",590400,44861
1400000US06073005500,06073005500,"Census Tract 55, San Diego County, California",,
1400000US06073005600,06073005600,"Census Tract 56, San Diego County, California",340100,54084
1400000US06073005700,06073005700,"Census Tract 57, San Diego County, California",441700,220085
1400000US06073005800,06073005800,"Census Tract 58, San Diego County, California",383600,33872
1400000US06073005900,06073005900,"Census Tract 59, San Diego County, California",497500,90892
1400000US06073006000,06073006000,"Census Tract 60, San Diego County, California",659500,76942
1400000US06073006100,06073006100,"Census Tract 61, San Diego County, California",484900,129035
1400000US06073006200,06073006200,"Census Tract 62, San Diego County, California",,
1400000US06073006300,06073006300,"Census Tract 63, San Diego County, California",,
1400000US06073006500,06073006500,"Census Tract 65, San Diego County, California",438000,99332
1400000US06073006600,06073006600,"Census Tract 66, San Diego County, California",,
1400000US06073006801,06073006801,"Census Tract 68.01, San Diego County, California",289200,34485
1400000US06073006802,06073006802,"Census Tract 68.02, San Diego County, California",401600,46661
1400000US06073006900,06073006900,"Census Tract 69, San Diego County, California",756900,70746
1400000US06073007002,06073007002,"Census Tract 70.02, San Diego County, California",815500,64795
1400000US06073007100,06073007100,"Census Tract 71, San Diego County, California",961000,94433
1400000US06073007200,06073007200,"Census Tract 72, San Diego County, California",955800,38809
1400000US06073007301,06073007301,"Census Tract 73.01, San Diego County, California",717100,120083
1400000US06073007302,06073007302,"Census Tract 73.02, San Diego County, California",851300,44695
1400000US06073007400,06073007400,"Census Tract 74, San Diego County, California",478100,53178
1400000US06073007501,06073007501,"Census Tract 75.01, San Diego County, California",467400,75484
1400000US06073007502,06073007502,"Census Tract 75.02, San Diego County, California",640800,80411
1400000US06073007600,06073007600,"Census Tract 76, San Diego County, California",671000,103599
1400000US06073007701,06073007701,"Census Tract 77.01, San Diego County, California",705400,95002
1400000US06073007702,06073007702,"Census Tract 77.02, San Diego County, California",567900,247664
1400000US06073007800,06073007800,"Census Tract 78, San Diego County, California",622100,110371
1400000US06073007903,06073007903,"Census Tract 79.03, San Diego County, California",301600,66643
1400000US06073007905,06073007905,"Census Tract 79.05, San Diego County, California",642900,102468
1400000US06073007907,06073007907,"Census Tract 79.07, San Diego County, California",477200,38795
1400000US06073007908,06073007908,"Census Tract 79.08, San Diego County, California",585700,97120
1400000US06073007910,06073007910,"Census Tract 79.10, San Diego County, California",669600,121348
1400000US06073008002,06073008002,"Census Tract 80.02, San Diego County, California",779600,69227
1400000US06073008003,06073008003,"Census Tract 80.03, San Diego County, California",780200,81960
