"long","lat","order","hole","piece","id","group"
-117.180956,32.757998,1825707,FALSE,"1","06073000100","06073000100.1"
-117.18047,32.757916,1825708,FALSE,"1","06073000100","06073000100.1"
-117.179565,32.757766,1825709,FALSE,"1","06073000100","06073000100.1"
-117.179385,32.757736,1825710,FALSE,"1","06073000100","06073000100.1"
-117.178867,32.75765,1825711,FALSE,"1","06073000100","06073000100.1"
-117.178866,32.757093,1825712,FALSE,"1","06073000100","06073000100.1"
-117.178865,32.756934,1825713,FALSE,"1","06073000100","06073000100.1"
-117.178865,32.756867,1825714,FALSE,"1","06073000100","06073000100.1"
-117.178865,32.756546,1825715,FALSE,"1","06073000100","06073000100.1"
-117.178865,32.755749,1825716,FALSE,"1","06073000100","06073000100.1"
-117.178807,32.755484,1825717,FALSE,"1","06073000100","06073000100.1"
-117.17866,32.75481,1825718,FALSE,"1","06073000100","06073000100.1"
-117.178509,32.754111,1825719,FALSE,"1","06073000100","06073000100.1"
-117.178509,32.754029,1825720,FALSE,"1","06073000100","06073000100.1"
-117.17851,32.753785,1825721,FALSE,"1","06073000100","06073000100.1"
-117.178511,32.753704,1825722,FALSE,"1","06073000100","06073000100.1"
-117.178509,32.753514,1825723,FALSE,"1","06073000100","06073000100.1"
-117.178506,32.752944,1825724,FALSE,"1","06073000100","06073000100.1"
-117.178505,32.752756,1825725,FALSE,"1","06073000100","06073000100.1"
-117.178502,32.752553,1825726,FALSE,"1","06073000100","06073000100.1"
-117.178499,32.752267,1825727,FALSE,"1","06073000100","06073000100.1"
-117.178497,32.751947,1825728,FALSE,"1","06073000100","06073000100.1"
-117.178497,32.751745,1825729,FALSE,"1","06073000100","06073000100.1"
-117.178495,32.751559,1825730,FALSE,"1","06073000100","06073000100.1"
-117.178492,32.751269,1825731,FALSE,"1","06073000100","06073000100.1"
-117.178491,32.751005,1825732,FALSE,"1","06073000100","06073000100.1"
-117.178491,32.750821,1825733,FALSE,"1","06073000100","06073000100.1"
-117.178488,32.750739,1825734,FALSE,"1","06073000100","06073000100.1"
-117.178479,32.750493,1825735,FALSE,"1","06073000100","06073000100.1"
-117.178477,32.750412,1825736,FALSE,"1","06073000100","06073000100.1"
-117.178906,32.750298,1825737,FALSE,"1","06073000100","06073000100.1"
-117.179828,32.750055,1825738,FALSE,"1","06073000100","06073000100.1"
-117.180123,32.749817,1825739,FALSE,"1","06073000100","06073000100.1"
-117.18047,32.749539,1825740,FALSE,"1","06073000100","06073000100.1"
-117.180638,32.749367,1825741,FALSE,"1","06073000100","06073000100.1"
-117.181146,32.748854,1825742,FALSE,"1","06073000100","06073000100.1"
-117.181316,32.748684,1825743,FALSE,"1","06073000100","06073000100.1"
-117.181493,32.748548,1825744,FALSE,"1","06073000100","06073000100.1"
-117.18174,32.748361,1825745,FALSE,"1","06073000100","06073000100.1"
